	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sat Oct  5 02:25:57 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  256923 1452528  3738358  7100397 5860307 2222043 3203069  2467108  5860307  2067979  1933893 3363612  6421025
              64       8  438043 1679761  4564786  7100397 5389653 2133730 2923952  1991276  4897948  1638743  1768283 3738358  7100397
              64      16  444572 1460430  4274062  5735102 5860307 2133730 2662899  1991276  4564786  1892980  1933893 3057153  4897948
              64      32  418250 1722886  4274062  5860307 4897948  256188 2772930  2006158  3791156  1421755  1392258 3363612  5389653
              64      64  435909 1690338  5283570  8182586 6421025 2379626 3203069  1933893  3363612  1892980  1722886 3541098  4897948
             128       4  272827 1294270  3759450  5325799 4267461 1827299 2420455  1827299  3445772  1749872  1802755 4267461  6045455
             128       8  369795 1939522  4889281  6406138 6727225 2558895 4135958  3560017  7582312  2420455  2098744 4934216  6727225
             128      16  544601  652488  2004703  2985839 1997245 1243315 3036502  1852520  2326073  1663139  1911894 4889281  8036304
             128      32  200264 2660335  6727225 1801235914200794 4759253 1306873  6406138  7917784  4759253  3445772 5325799 10779307
             128      64  955616 2248149  2420455 1801235914200794 6114306 3468030  6406138  7082197  3759450  5379161 5325799 15881078
             128     128  533241 2132084  5122535  5847904 5122535 1939522 4135958  1561553  4012317  2098744  2132084 4135958  7082197
             256       4  596587  815414  1208072  4132864 2131261 1489641 3368013  2330140  4009406  1855098  1718521 3756894  4332998
             256       8  520524 1718521  4477549  6073004 4572895 1868008 3123106  2266207  3994490  1790149  2413957 4929815  7518900
             256      16  753077 2266207  4572895  6249745 5717301 2350543 3454704  2170027  4197489  1778290  1956506 3879045  5810112
             256      32  608074 1802167  4281170  6249745 5841722 2228578 4197489  3052087  4840911  2371308  2135500 4496299  6249745
             256      64  746272 2435861  5320671  8534922 7735574 3499745 4332998  4070199  5938650  3454704  3245838 5347168  8208677
             256     128  820398 2441400  5810112  8271916 7518900 3275543 4422226  3705040  6249745  2607399  3499745 3879045  7314033
             256     256  622890 2509882  7314033  7518900 7120034 3236056 4572895  3245838  5117791  3245838  2783115 2872459  3454704
             512       4  447970 1204552  3481620  4131319 3320137  784094 3437042  1797349  3533174  1821745  2150051 4296637  6104175
             512       8 1152822 3604335  6414119 1462806712797441 2277758 5551840  3196584  4784885  3684733  3659616 6246213 13872122
             512      16 1233614 3177664  6491676 1352271111943357 5115422 4030519  6104175  4838792  2135087  2910635 6319739 12797441
             512      32 1276891 2922519  6472112 1352271112797441 5278892 6174377  7211022 14240069  4610256  4068701 5886650 13522711
             512      64 1258188 3158966  7115451  469081813109944 5822804 3220553  7211022  7022379  5079126  4340054 6246213 13522711
             512     128  608730 1712772  5453155  7758090 7435738 3459188 4571003  3736016  7022379  3104171  2275345 4784885  7309196
             512     256  832420 2665014  5886650  7309196 7211022 1985091 4571003  3527371  5760329  2049505  3710197 4690818  5067142
             512     512 1017858 3239989  9814569 10044089 9859630 4494470 5566231  4571003  5384786  4228947  3884698 5624545  9814569
            1024       4  422990 1508167  4594502  3941039 5219904 2265510 4110780  2942149  2364021  2179295  2216407 4493556  6093831
            1024       8  722595 2178189  3324778  6093831 6733974 2774874 4507705  2934110  5917516  2365323  2081090 5018624  4146499
            1024      16  547631 2115949  5120336  5144870 6918376 2579861 4949226  2592318  6692005  2225595  2522288 5120336  7420395
            1024      32  761950 2250080  3966517  7644933 7257394 2730767 5042191  4048778  5071963  2365323  2326879 5151040  5144870
            1024      64  859026 2510493  3866533  9832672 7306780 3170172 3544270  5690162  9569770  2397005  3012308 5601115 10557785
            1024     128 1078106 3709575  6244448 1177330111489839 5018624 5042191  6137371 11132462  3037876  3631168 5120336 12944224
            1024     256  538364 1641301  5251818  7257394 7160597 2375790 3631168  1976691  6776473  2908281  1942715 4943530  7269678
            1024     512  530583 2102484  4854136  5169641 6744549 2491561 4700088  3458646  5789881  2514903  3696803 4741598  7208671
            1024    1024  709582 1458489  3281592  6776473 6364746 2813041 2950233  3304314  4356809  2694787  2791104 4943530  7420395
            2048       4  789457 1629101  3309159  3574960 3835124 1068824 2955111  2998435  2756890  1207501  1776319 3346546  4741090
            2048       8  427109 2146514  5197183  7343043 6563185 2432165 4864597  3351769  5280246  2392868  2263006 4853603  4154130
            2048      16  556530 3548378  6503556  602461711502234 4347560 6080053  4284671  6588354  3828288  2748949 3314266  4048407
            2048      32  527967 1750616  4552633  5970183 4330028 1997749 3160613  4120256  5564129  2510351  2645657 5290001  7311791
            2048      64  404102 1770096  4751580  6220958 4983122 3038742 4562305  3586902  4061807  1671907  2635914 4094723  6092991
