	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Fri Oct  4 07:06:00 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  340306 1648808  4274062 1290201710402178 4018152 3738358  3541098  9006179  2772930  2298136 3738358 12902017
              64       8  383585 1392258  4274062  6421025 5860307 2067979 3203069  2467108  5860307  1828508  1526887 3022727  4643754
              64      16  426219 1492919  3738358  5860307 4564786 1768283 2561267  2067979  3738358  1562436  2067979 3588436  4564786
              64      32  470274 1562436  4018152  5283570 5735102 2358717 2561267  2067979  3738358  2006158  2379626 3588436  4988978
              64      64  453587 1679761  6421025  7940539 6421025 2467108 3203069  2467108  3588436  1947927  1562436 3541098  5860307
             128       4  436904 1319723  3759450  5122535 4267461 1911894 2920861  2132084  3277486  1755594  1471662 3359523  4557257
             128       8  440128 1526043  4012317  5325799 4407601 1827299 3199360  1291158  5545860  1732927  1085013 3536566   857887
             128      16  549618 1684006  3759450  5847904 5784891 2409592 3199360  2784517  4759253  2166499  1827299 4135958  6406138
             128      32  484625 1997245  4267461  6727225 5325799 2571150 3759450  2843510  5379161  2499332   463696 3867787  6406138
             128      64  780556 2784517  6114306 11470204 9795896 4596273 4444086  4759253  1436229  2969325  5325799 4596273  9795896
             128     128  927549 1749872  6114306  6406138 5847904 2608629 3785961  2608629  3657016  2132084  1939522 3657016  4934216
             256       4  518263  894929  3879045  5022044 4054829 1884399 2812272  1924938  3410808  1766587  1071806 2065659  3823789
             256       8  673696 1897721  4819184  7314033 6719046 2880164 4404088  3756894  5971678  2699161  2371308 4572895  7314033
             256      16  565185 1662639  3770085  5569035 5320671 2458168 3285566  2943325  4819184  2170027  1652404 1540948  5717301
             256      32  474937 2061693  4572895  6107548 5540300 2582316 3511189  1340826  4755158  2285501  1814348 4070199  1985448
             256      64  577962 2097948  5841722  7735574 7120034 3410808 4132864  3935921  5687020  3326279  3207059 4422226  7314033
             256     128  740100 2000242  5687020  7735574 7120034 3368013 4422226  3770085  5347168  2557711  4009406 3865082  6936061
             256     256  707430 1967260  7120034  7314033 6936061 3316006 4652146  3410808  4907284  3326279  2719671 4572895  1639786
             512       4  589837 1528669  4620174  6652558 3012719 2317080 3963567  2942541  4961773  2207515  2081286 4375425  6104175
             512       8  741072 2347475  5278892  3684733 6736026 2891043 4163357  2132967  6319739  2695115  2560168 4927617  7211022
             512      16  619084 1823291  4494470  5744919 3580298 2486072 2116152  3122224  4163357  1827947  2047551 4457157  5807059
             512      32  580588 2427068  5566231  7620440 7211022 3459188 4228947  4163357  6018636  3046915  1940253 4375425  7410080
             512      64  828247 2572435  5214798  8018812 7540170 3580298 4571003  4228947  6246213  3239989  2958758 4000485  7647578
             512     128  768658 2032051  5177083  2535981 7211022 3264616 4650188  4163357  7435738  2486072  3304808 5214798  7410080
             512     256  671969 2512247  4742616  6472112 6491676 2753870 4571003  3481620  5951911  2169601  4131319 5019764  7211022
             512     512  526756 2225819  7211022  7410080 7334159 2141475 4784885  3388236  5067142  3409755  3051245 3877684  7022379
            1024       4  614637 1793451  4659297  6569179 5303701 2333199 4014717  2942149  3877004  2260740  1799462 4356809  3751699
            1024       8  758988 2491561  5251818  7577494 6830356 2744728 3567824  3894582  5630486  2701567  2559871 5120336  7537599
            1024      16  612795 1800216  4014717  7319232 6874084 2960401 2703267  1706515  1831694  2142335  2468647 3696803  7306780
            1024      32  532556 2024203  3937426  4926518 4720752 2089189 4805258  4126579  5991815  2798378  2553783 5144870  7257394
