	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sun Oct  6 11:54:37 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  621657 2561267  3791156 1597288510821524 2561267 3738358  3363612  9318832  3022727  3057153 2689580 10821524
              64       8  688639 1526887  5283570 1597288512310336 4643754 3203069  3363612  9318832  2561267  3541098 3791156 12902017
              64      16  983980 2662899  5860307 12902017 9318832 3791156 1780008  1828508  7940539  4274062  3406295 5860307 22737791
              64      32  450541 1780008  4274062  5735102 6421025 2379626 3057153  2067979  3738358  1933893  2444640 3958892  7293312
              64      64  627470 2278628  8182586 10821524 7940539 3203069 4274062  3203069  4274062  2892445  2278628 2006158  9006179
             128       4  404939 1911894  4557257  6114306 3124872 2409592 3759450  2985839  4267461  2132084  1802755 4267461  6727225
             128       8  646205 1911894  4934216  8548124 7582312  809997 3982553  3536566  8036304  2621367  1911894 4934216  6406138
             128      16  595328 2027414  3895854  7917784 7582312 2843510 3867787  3053774  6045455  2673584  2367096 4407601  7082197
             128      32  403721 2420455  4934216  8414153 8036304 3277486 3867787  3657016  5545860  3199360  2571150 5379161  8548124
             128      64  757430 2453642  5784891  9977956 8036304 3468030 4557257  3560017  5122535  2558895  3468030 5122535  9287508
             128     128  620799 1911894  5545860  7082197 6406138 2558895 3277486  2202044  4135958  2608629  1911894 4135958  6406138
             256       4  611189 1924938  1629830  6761355 5347168 1398455 3935921  3052087  4496299  2325094  1254656 4404088  6398720
             256       8  429530 2350543  5142301  7791708 6891544 3043436 4496299  1897721  5347168  2639446  2242541 4907284  7735574
             256      16  641497 1894373  2588541  6398720 5810112 2539563 4132864  3667079  8208677  2783115  2509882 4422226  7518900
             256      32  711178 2285501  5540300  8271916 7518900 3285566 1619994  3770085  7518900  2975955  2783115 5117791  7791708
             256      64  825443 2285501  5810112  6595234 7518900 3197509 4496299  3935921  5841722  3511189  3245838 4907284   907792
             256     128  805021 3285566  8271916 1495343513454450 6554972 4496299  7120034  6891544  5022044  7314033 4572895 15164624
             256     256 1334162 2509882 12090911 1345445012228612 5022044 5687020  5810112  5687020  5687020  4197489 5810112 12812277
             512       4  815044 2512247  5453155  8992598 7115451 3140488 3388236  3768799  4784885  2651850  2668325 5164632  8265729
             512       8  974885 2695115  5822804 10485468 9145790 2474613 5384786  5067142  6632013  3481620  3158966 5822804 10235583
             512      16  975328 2449212  1931527 10235583 9638369 4030519 4340054  5214798  6395018  3736016  3366987 6035551 10235583
             512      32 1062161 3064306  6104175 1064134310235583 4447925 5624545  5331314  2572435  1990612  3659616 5566231 10235583
             512      64 1070633 2782414  6571132 1091169410434519 4457157 5870558  5699180  7540170  4228947  3795443 6018636 10694336
             512     128 1057454 3372274  6472112 10641343 4420457 4620174 5331314  5384786  7435738  4068701  3736016 5624545 10235583
             512     256 1005938 3182373  6931711  9468384 9145790 4375425 3239989  1662389  6571132  3822466  5079126 5566231  9859630
             512     512  948197 2926501  9681823 10044089 9638369 4271001 5331314  4457157  5699180  4494470  2370799 3905895  4784885
            1024       4  649296 1678504  4700088  6569179 5310258 2188177 4126579  2985091  4474829  2286009  1522063 2503178  5991815
            1024       8  730833 2169388  5226256  7472033 6650556 2877110 4356809  3984917  5417427  2646630  2419964 5096034  7420395
            1024      16  701929 2020395  5018624  7420395 4679604 2360124 4182843  3055164  4130547  1793451  1865101 3369115  5630486
            1024      32  742071 2668003  3877004  6733974 5950309 1942715 4356809  4014717  5917516  2659742  2044438 4805258  7369466
            1024      64  714659 2632033  4018473  6364746 5751117 2606476 4215688  4110780  6441107  3001782  2798378 3311958  7369466
            1024     128  736220 2343383  5120336  6830356 6918376 3366474 4943530  4178773  7356843  2251260  2295784 4614246  7160597
            1024     256  778242 2270300  5071963  7008693 6963241 2410457 4720752  3603747  3984917  2503178  2192645 4720752  6874084
            1024     512  722109 2640123  5623115  7113161 7020149 3220084 3877004  2867506  5623115  2805690  4014717 4433259  7113161
            1024    1024  644424 2480051  4014717  4410497 3198502 2952261 4876180  3291652  4679604  3121783  2934110 4634161  5536137
            2048       4  672359 1937372  4572018  6225466 4853603 2209455 4038890  2947000  4385291  2172024  1933883 5184636  6690992
            2048       8  534007 1875611  4500161  4569586 5159722 1850160 4178378  2875960  4552633  1982533  2056579 4676561  7318020
            2048      16  799375 2319218  3814687  5433896 6990474 2575842 4603874  3873168  5433896  2432165  2351599 3174630  7231767
            2048      32  747223 2458618  5209791  7636816 7368238 3175804 5222461  4128177  4686767  2149199  2479196 5056455  7286980
