	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sun Oct  6 03:51:52 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  376589 1255511  3022727  4897948 4274062 1780008 2772930  2006158  4564786  1599680  1279447 2561267  4274062
              64       8  450541 1421755  4274062  7100397 5735102 2133730 2662899  2006158  4897948  1679761  1562436 3541098  5389653
              64      16  467002 1452528  4018152  4897948 4897948 2278628 3203069  2467108  4643754  1879725  1734015 3791156  6421025
              64      32  460591 1526887  4274062  5860307 5735102 2278628 3057153  2444640  4897948  2203800  2278628 3958892  7293312
              64      64  512471 1648808  4897948  7100397 6421025 2444640 3203069  2358717  3791156  1933893  1722886 3791156  5283570
             128       4  392505  382167   535368   816154 1048974  355589  691126   286360   876086   636249   130219 1059322   841746
             128       8   52225  292922   895074   95561610779307 4889281 5325799  6114306 12842051  3867787  2558895 5545860 12842051
             128      16  531131 1684006  3867787  6114306 5545860 2420455 3867787  2784517  4934216  2202044  1802755 3657016  5325799
             128      32  511887 1732927  3982553  6114306 5847904 2511022 3359523  2377579  4407601  2511022  2098744 5122535  8036304
             128      64  529038 2035099  4267461  6406138 5847904 2660335 3982553  2905056  3468030  1827299  2248149 3359523  4557257
             128     128  576780 1911894  5122535  6114306 5847904 2608629 3759450  2132084  3445772  2058509  2035099 3657016  5122535
             256       4  492360 1570244  3935921  5217259 4264168 1924938 3285566  2325094  3410808  1881098  1729594 3770085  4840911
             256       8  561343 1704877  4496299  6213578 5347168 2330140 3994490  2911402  4197489  2170027  1938842 3823789  4840911
             256      16  584570 1817419  3879045  6107548 5569035 2533571 3994490  2943325  5569035  2266207  2065659 3770085  5810112
             256      32  606700 1924938  4132864  5217259 4840911 2266207 3717869  3043436  6107548  2509882  2187712 3994490  5938650
             256      64  599585 2114473  4652146  6398720 5971678 2872459 3935921  3159869  4819184  2783115  2665657 3770085  5022044
             256     128  595264 2097948  4929815  6073004 5717301 2699161 4264168  2943325  3879045  1842366  3197509 4350555  6107548
             256     256  636553 2131261  5687020  5971678 5687020 2754556 4332998  2754556  4404088  2747508  2463808 4572895  5938650
             512       4  529483 1640796  4091959  5115422 4163357 1902438 4131319  2975154  4494470  2370799  2169601 4494470  6174377
             512       8  591951 1815584  5331314  7647578 6821616 2958758 4882800  3849877  5495016  2768068  2597325 5115422  7410080
             512      16  591299 1983258  4650188  5951911 5439343 2625909 3710197  3064306  4331300  2317080  2187279 4571003  5822804
             512      32  647260 2160868  4784885  6174377 5760329 2768068 4061007  3239989  6472112  2438090  1795846 5384786  7647578
             512      64  649609 1801873  4916336  6319739 5951911 2860238 4580754  3325278  5067142  2600470  1783912 4732165  6086873
             512     128  644927 2216629  4916336  6104175 5744919 2891043 4375425  3239989  6018636  2782414  2708713 4411377  5886650
             512     256  663252 2187279  4882800  5684095 5453155 2768068 4340054  2942541  5067142  2357784  4420457 3325278  7211022
             512     512  608041 2187279  4690818  4784885 4784885 2246778 4340054  2768068  4532414  2782414  3158966 5127637  7334159
            1024       4  497056 1643814  3348104  5065980 3937426 1841906 4146499  2604895  4410497  2311849  2207295 3567824  5983467
            1024       8  557440 1931359  4629166  6163794 5169641 1914144 4920874  3808251  4920874  2767722  2619192 5226256  5390231
            1024      16 1199106 3379719  5782087 1347205310878686 4972145 4694950  6479979 10134284  4741598  3751699 5444898 11489839
            1024      32 1402756 4282950  6599461 1423090213305116 5096034 5950309  7356843  8122014  4854136  3606774 5917516 11645609
            1024      64 1309518 4079544  6280976 1442204513818817 5593820 6172653  7755368 12639479  5226256  4048778 6059442 14668318
            1024     128 1275301 3618930  5630486 1152065811249091 5390231 5194651  1659694 13305116  4634161  3894582 5536137 10134284
            1024     256 1378445 3020783  6744549 1298335312790037 6025439 5958564  7008693 10557785  5601115  3529706 6025439 12639479
            1024     512  530845 1917562  4972145  4762630 4741598 1865101 4451639  2926114  5991815  2852271  4064103 5042191  7269678
            1024    1024  785213 1848247  3579719  4832290 4832290 2234860 4474829  2760606  2198257  1229309  2638501 5089995  7319232
            2048       4  474194 1580250  4717655  5159722 4971585 2228370 4146110  2959183  4829046  2250555  2209455 4490751  5900467
            2048       8  515329 1892971  5264067  5953632 6717153 2797290 4188565  2921939  4623699  2035623  2083011 5119743  6990474
            2048      16  495045 2625441  4581773  5900467 5420181 1920909 3871422  3016334  3611028  1851755  2240576 4500161  4960102
            2048      32  566849 2219159  5389574  7477273 5209791 3334853 4983122  4248644  7065219  2756005  2786401 4405533  5884299
            2048      64  596904 2278010  4559883  7643611 7698414 3561619 5332694  4385291  6149699  3043048  2786401 4934459  5144271
            2048     128  580997 2240576  5144271  7393606 7444871 3592903 5156624  3855782  8540351  2759547  2592166 4509611  4509611
            2048     256  828839 2715922  4423683  6990474 7231767 3454204 4257067  4079167  7496851  3003677  2868277 4663865  6895083
            2048     512  844484 2753355  5447681  7112016 7286980 3358321 4948672  3835124  6629029  3195891  3136379 4321315  3828288
            2048    1024  572555 2694623  5704543  7112016 6780783 2929912 4172290  3664951  4276140  2491420  2752473 4215286  5389574
            2048    2048  547450 1923059  5147354  5492967 4223576 2828608 3946119  2868277  3962502  2816551  2450202 4540600  4120256
            4096       4  467520 1442740  3670280  3747131 2723588 1354900 3634562  1770061  3494822  1419729  2104910 3483484  3494822
            4096       8  508704 1681365  4125010  4530788 3697135 1618939 4740836  3230631  5204750  2377242  2460310 4325455  3938705
            4096      16  519016 2381196  4791076  5664678 6060333 2419425 3923414  2423862  3612399  1692630  2560030 4095510  3973321
            4096      32  723673 3319264  5512011  6826060 7935986 3537277 5761565  5769304  5841891  3528559  3357537 4003879  5438722
            4096      64  569760 2730514  4209920  4565707 4413235 2036783 4639689  4307020  5445618  2525409  2577699 4423462  3823862
            4096     128  823508 3165159  5627567  5894001 7421732 3382659 4876757  5918366  5926533  3255732  3210107 5565581  4140919
            4096     256  828792 2719708  4871226  4899008 5759634 3054304 3992713  2438311  6361016  1791845  1999099 4039655  4047268
            4096     512  543756 2596006  4988629  4757904 5657217 2946397 4730393  3548968  6049663  1997007  2303918 4209920  3992713
            4096    1024  569193 2459958  4471821  3908241 3548968 1914873 4149921  2508447  5433562  2079181  2790386 4740836  4607338
            4096    2048  618652 2262949  3634562  3949571 3155276 1541098 4034911  2635836  4869845  2210537  3202925 3456153  3509816
            4096    4096  489360 1533532  3916259  3630721 3765198 2221111 4059701  2736168  4423462  2548637  2712836 3402085  2991546
            8192       4  471024 1303440  3328849  3068160 2549546 1277038 2915101  1849604  2491496  1346447  1343814 2945590  2985517
            8192       8  506677 1574487  3715447  3649155 3342450 1753423 3404716  2168928  3287130  1815592  1607262 3615366  3508313
            8192      16  527056 1777828  3840447  3964979 3427813 1631531 3730777  2477126  4413692  2252535  1651290 3588182  3655366
            8192      32  556146 1878525  3688327  3622990 3566209 1885431 3600968  2621518  3901055  1688372  1691197 3647218  3577348
            8192      64  561517 1954611  3822928  3650706 3703433 1950063 3642578  2889605  3844314  1704537  1733343 3361744  3639492
            8192     128  696954 1894580  3688723  3670204 3497955 2127827 3614985  2808359  4917099  2438797  1654550 3947668  3878597
            8192     256  836516 1858910  3897073  3602478 3514413 1620604 4019714  2562475  3804725  2440182  1759799 3799676  3621463
            8192     512  557916 2489330  3718664  4059608 3637565 1759078 3851640  3830173  6715075  2332509  1678639 3618031  3583691
            8192    1024  651087 1786703  3573999  3828039 3605880 1912294 3429182  2441049  4493932  1692530  1661993 3718664  3884297
            8192    2048  487532 1615423  2371795  4625826 4334079 2409382 3204958  2102180  4782278  2256826  1752260 3253514  3342450
            8192    4096  545480 1532698  3005363  3833591 3742562 2250617 2998544  1609747  3130498  1672918  2158572 3129072  3052081
            8192    8192  658891 1523253  1469381  3627963 3869860 2629141 2932017  1695370  2997498  1521836  1561252 3000639  3655755
           16384       4  579325 1499809  3215727  4570388 3443410 1675275 2934622  2509768  3698412  1749708  1383693 3105290  3031321
           16384       8  642161 1524260  3983320  3750898 2938260 1410243 3167846  2235811  3772519  2068193  1480455 3673501  4848685
           16384      16  578671 2049809  3659611  3482852 3356786 2223657 3411105  4015675  4805959  2360131  2313802 3796277  3580294
           16384      32  770468 1831210  3874181  3788951 3492587 1738157 3496319  4229201  4858970  2292804  1923255 3787280  3619327
           16384      64  607170 1825906  1315864  4003043 4400917 3089098 3591333  2759175  4858627  2467857  1707578 3501485  3657079
           16384     128  680884 1799655  3785611  3805949 3653191 2613424 3476333  1431273  5314400  2887032  1678877 3592272  3738857
           16384     256  602132 1852786  3550145  3593023 3508278 2816625 3491877  2598207  3526461  2152137  1619794 3742319  3764871
           16384     512  596928 1756641  3570249  3600931 3550879 1923255 4497405  4714626  5287006  2796907  1646456 3545566  4337856
           16384    1024  951071 1664522  3696820  3756844 3520500 1685093 3637720  3416872  7062054  1788414  1604215 3251329  3556208
           16384    2048  578900 1508931  3045427  3324148 3601686 2327201 3241820  2805013  5673291  2015540  1651283 3264458  2645111
           16384    4096  632759 1543605  2989258  2987568 3083138 1679533 2924132  1812375  2964371  1564693  1611325 3108943  2948346
           16384    8192  572524 1464553  3021193  3024650 3812071 2249056 3057214  2335585  3503806  2218846  2369653 3184434  3757872
           16384   16384  656385 1934571  4152032  4139526 4137532 2623100 2999042  1998541  2829148  1557565  1823290 2927870  3079684
           32768      64  766266 1807888  3616833  5049782 4768244 2732938 4010848  4373164  5388536  2796839  1760304 3660469  3717298
           32768     128  708529 2366462  3606866  4581786 4771886 2568433 4027538  4036883  4769733  2925925  3396002 3623985  3746992
           32768     256  760314 1781848  3633662  4253916 4712816 2605388 3597331  4049014  4653142  2423505  1651775 3613504  3625132
           32768     512  797196 1799532   920427  5843044 5700778 2374147 3662811  3837061  3693026  1832353  1881055 3681353  3715188
           32768    1024  747955 1789248  3841565  5062990 5014225 2643219 3749138  3983067  5160319  3068737  1609905 3832033  3999061
           32768    2048  755529 1617141  3522648  4556872 4737345 3071618 3465272  2289092  5327337  1968875  1460643 4498701  4663879
