	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Mon Oct  7 15:08:54 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  310759 1255511  3363612  5735102 4274062 1780008 2772930  2067979  4564786  1599680  1392258 2892445  4988978
              64       8  423529 1599680  4564786  7100397 5860307 2133730 3203069  2444640  5283570  1879725  1828508 3791156  5283570
              64      16  429630 1553394  4988978  7100397 6421025 2358717 3203069  2444640  4207076  1780008  1991276 3541098  4897948
              64      32  481234 1599680  3541098  5735102 4897948 1947927 2689580  2067979  3363612  1879725  2067979 3541098  5389653
              64      64  610350 2133730  7940539 10402178 8182586 2923952 4018152  3057153  4274062  3057153  2379626 4897948  9318832
             128       4  435487 1440082  3785961  5325799 4444086 1858934 3124872  2238774  3359523  1802755  1332828 2985839  4012317
             128       8  515822 1684006  4407601  6114306 5325799 2286447 3785961  2727923  5784891  2066432  1732927 4267461  6406138
             128      16  508012 2066432  4557257  8036304 7582312 3053774 3982553  3359523  4889281  2727923  2367096  688467  8548124
             128      32  662962 2608629  1105114   976473  960747  428193 3982553  3560017  5545860  3277486   425141 1065630  1266785
             128      64  955616 3359523  8036304 1284205111720614 4407601 4759253  4759253  6114306  2004703  4135958 4717434  9795896
             128     128  969421 3560017 11720614 1284205114200794 6045455 5379161  5325799  5847904  4717434  4135958 5847904 11470204
             256       4  934659 2665657  5810112 13454450 9778562 4132864 5022044  2975955  9114515  4332998  3368013 5569035 11695808
             256       8 1012194 2880164  6107548 1416439512812277 5428265 5569035  6891544  9434868  4422226  3499745 5569035 14164395
             256      16 1274008 2726577  6719046 1607260814164395 5569035 3654598  7314033  5022044  5428265  3935921 4572895 14953435
             256      32  613985 1855098  4197489  6249745 5938650 2692393 4350555  3043436  4652146  2486631  2345409 4264168  6249745
             256      64  773140 2419396  5117791  8271916 7735574 3605511 5117791  3879045  5687020  3557725  3316006 5428265  8024634
             256     128  625794 2000242  4819184  6249745 5810112 2783115 4332998  3009318  3950402  1842366  3236056 4929815  7518900
             256     256  630572 1707589  5687020  5938650 5687020 2692393 4264168  2692393  4264168  2699161  2305128 4496299  5971678
             512       4  572081 1571169  4091959  5019764 3970896 1917728 3299730  2413429  3325278  1551867  1772135 3849877  6228097
             512       8  608730 1854787  4610256  6246213 3064306 2337255 3934520  3086326  4340054  2189509  2049505 4494470  6035551
             512      16  555938 1718254  3970896  3849877 3068685 1679288 3736016  2449212  4411377  2304647  2158696 4375425  7513788
             512      32  613250 2081286  4827914  6246213 5822804 2782414 4411377  3220553  5067142  2438090  2317080 4061007  6018636
             512      64  669455 2124526  4916336  6414119 6018636 2830083 4375425  3239989  5067142  2544997  2413429 4163357  6174377
             512     128  656360 2124526  4973263  6086873 5822804 2875558 3504346  3201349  4973263  2811557  2722449 4532414  5870558
             512     256  632206 2114069  4973263  5744919 5684095 2722449 4271001  2524058  6104175  2796910  4195896 4742616  6472112
