	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Tue Oct  8 00:57:48 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  313664 1279447  3363612  7100397 5860307 2133730 3363612  2772930  5860307  1933893  1933893 3203069  6421025
              64       8  500060 1679761  5389653 10821524 7100397 2662899 3406295  3057153  7100397  2298136  2278628 4207076  7100397
              64      16  511494 1828508  4564786  7100397 7100397 2892445 3958892  3203069  5389653  2278628  2358717 3203069  8182586
              64      32  560635 1947927  1279447  9318832 7940539 3057153 3541098  3363612  4897948  1828508  2892445 4274062  7940539
              64      64  410573 1690338  5389653  6421025 5283570 2067979 3057153  2067979  3738358  2006158  1991276 3588436  6421025
             128       4  495814 2035099  4407601  7582312 5122535 2326073 3657016  2843510  2035099  2377579  2058509 3982553  6114306
             128       8  590094 2175277  5379161  8548124 7176872 2969325 4444086  3560017  8036304  2608629  2132084 4717434  6406138
             128      16  615109 2132084  5122535  9129573 7917784 2784517 1065630  3445772  7917784  2920861  2248149 4267461  6114306
             128      32  612303 2286447  5784891  9129573 7582312 3359523 2969325  3759450  5545860  3124872  2511022 3560017  7582312
             128      64  621518  498114  5545860  9795896 7476717 3445772 4012317  3657016  6406138  2727923  4135958 4596273  7582312
             128     128  584950  836500  7582312  8548124 7176872 3359523 4135958  3380677  4407601  3053774  2621367 4557257  7476717
             256       4  584570 1652404  4572895  6398720 5242734 2435861 3879045  3052087  4422226  2413957  2097948 4404088  6107548
             256       8  550409 1715775  4332998  6107548 5320671 2392442 3879045  3043436  4132864  2000242  1956506 4350555  5938650
             256      16  577962 1790149  3823789  5569035 5428265 2509882 4070199  2975955  4929815  2285501  2034350 4332998  2943325
             256      32  503913 2081678  3994490  5971678 5687020 2726577 4054829  3123106  4572895  2435861  2114473 3879045  5810112
             256      64  568777 2034350  4496299  6398720 5810112 2812272 3756894  3197509  4755158  2775920  2435861 4264168  5971678
             256     128  549564 1489641  4734192  5938650 5540300 2849590 4070199  3052087  4404088  2413957  3197509 4132864  5841722
             256     256  575484 1814348  5455847  5569035 5320671 2665657 3935921  1740810  4197489  2692393  1956506 4264168  5569035
             512       4  449564 1336492  3346002  3304808 3239989 1115688 3970896  3046915  3934520  2178404  2187279 3710197  5886650
             512       8  583269 1947291  5278892  7540170 6632013 3008498 4340054  3710197  5164632  2750343  2024389 5067142  7309196
             512      16  754083 2225819  4973263  7410080 6843354 3012719 3064306  3659616  5331314  2655129  2294796 4375425  7334159
             512      32  807383 2845081  4532414  4195896 5624545 2678309 3659616  2638816  5278892  1842059  1729323 4457157  2424328
             512      64  621413  969603  2317080  6174377 5951911 2875558 4494470  3372274  4061007  2169601  2073249 4131319  5019764
             512     128  774480 2347475  5384786  7647578 7211022 3504346 4420457  3788747  7115451  2427068  3201349 4650188  7435738
             512     256  520374 2022482  4131319  4620174 4571003 2244430 4000485  3064306  4916336  2307123  3346002 4827914  7115451
             512     512  918982 2625909 11877300 1221509711943357 5019764 5331314  5453155  5822804  5822804  4262523 5439343 12215097
            1024       4 1010864 2822283  5226256 11773301 9569770 3835457 4356809  5529011  7883484  3880507  3271594 5564829 10878686
            1024       8  885048 3529706  6059442 1314226512037272 4531485 5789881  6364746  5048117  4232305  3483896 5917516 12944224
            1024      16 1063425 4287225  6559147 1347205312676785 4995276 6025439  7306780 12037272  5120336  4433259 6317933 13142265
            1024      32 1287921 2852271  6137371 1330511612790037 5593820 5853003  5564829  7472033  3414650  2031864 4339202  5845038
            1024      64  802526 2281152  4826859  6208343 6025439 2892612 2236023  2129589  4033569  2137006  1882266 4415030  5018624
            1024     128  519795 1999700  2461573  4854136 3835457 2321847 3778101  2572135  5383475  1084640  2360124 4433259  5885083
            1024     256  584444 1643185  3966517  5048117 4949226 2535690 3495237  2169388  6529233  2859868  2892612 2572135  2976816
            1024     512  569261 2043465  5821271  7319232 7208671 2767722 4920874  3748425  6025439  2884840  4282950 4920874  7066349
            1024    1024  475801  211171  2703267  3304314 2844715 1649496 1400469  2197132  3425544  3422814  4029784 5417427  4674510
            2048       4  391433 1528239  3436240  3561619 2642401 1110699 4088876  3146720  4031308  1802788  1932143 3507805  7698414
            2048       8  704508 1303716  3494960  3887189 3826582 1659632 3850597  4120256  4164199  1768638  2306143 3379461  3307884
            2048      16  485312 1603555  4490751  4162181 4807425 1655474 4432815  3425279  4038890  1603854  2420514 3764533  6649556
            2048      32  563244 2351599  4717655  7529708 7444871 3256469 3538147  2801852  3489282  1759581  2096227 3297725  3864455
            2048      64  495502 2238241  4707314  6132138 4820915 2375662 4063729  4403275  4923146  2805512  2373037 2759547  3500658
            2048     128  552023 1580250  3210223  4785996 3915540 2265394 4358590  3407614  6802261  2345819  2767549 5071381  7477273
            2048     256  528227  299542   586992   558338 8029434 3901313 4112366  3878414  7286980  2209455  2470639 3894239  4071433
            2048     512  511341 1367866  4186524  4697018 2566606 1562145 3663388  2248199  5769681  2094183  2963266 3465352  4405533
            2048    1024  746379 1903457  4112366  3730203 3407614 1570714 4460436  3573472  3447273  1416357  1982533 3477979  3465352
            2048    2048  647719 1382840  3436240  3586902 3592903 1685356 4666399  2920945  3395491  1395873  2017455 3892474  4321315
            4096       4  431700 1268841  2886496  3396032 3112404 1325115 3853020  1867010  2705573  1090798  1294561 4136930  4279128
            4096       8  458878 1563966  3984379  4188367 4082857 2046975 4740836  4707064  3664018  1343352  1632476 4253700  3916259
            4096      16  531196 1674482  4183268  3690781 3052133 1624143 4125010  3447830  3281854  1564536  1660403 3703511  3438858
            4096      32  801718 1691130  4059701  3945943 4288742 1890222 3785107  2725317  3565171  1642465  1691130 4091608  3450600
            4096      64  539368 2558124  5204750  5802430 5353976 3088901 3268741  2870101  3792628  1771703  1795779 3911800  3740604
            4096     128  547220 1782364  4906002  4087714 4315676 2061220 3305851  2737912  4293029  1805213  1564536 5424983  6272759
            4096     256  543446 1679229  3512686  4240052 4422323 1770061 4691638  4125010  7877762  2592481  1596967 4768469  5786794
            4096     512  524787 1649720  4917236  5312585 4344048 2929815 3796819  2602298  4977067  1791845  2441083 4293029  5664678
            4096    1024  499388 1503734  4280194  3234889 3319264 1644351 4218190  3849566  6565206  2762123  3081698 2950952  3568133
            4096    2048  486464 1644981  3007255  2776856 2635836 1432156 3747131  1978608  3938705  1431201  1952300 3404782  3197560
            4096    4096  767067 1402346  2327010  2197249 2813233 1851716 2976515  1879058  3326978  1184181  1345561 3657777  3459633
            8192       4  495913 1228194  3024942  2900827 2261133 1126814 2946853  1948625  2487707  1267334  1374510 2938285  2960564
            8192       8  698911  428945  2340612  4296145 4721816 2065532 3387931  2243709  3291223  1521230  1451198 3297857  3255981
            8192      16  522551 1577813  3594563  4053382 3436040 1632849 3683582  2554474  3402019  1529219  1591627 3396303  3292800
            8192      32  519336 1628901  3367015  3549264 3314080 2699156 3666679  2379350  3262473  1408254  1476072 3785860  3599459
            8192      64  509012 1590080  3621463  3509746 3602478 1795291 3345053  2810427  3471099  1677655  1700235 3090236  4203640
            8192     128  798825 3502591  3449147  3230268 3623372 2000473 3372633  2790116  4762392  2148449  1550403 3368335  3418945
            8192     256  529411 1873301  3334017  3695070 3441891 1775072 3177689  2492218  3423032   943539  1583339 3385260  3407755
            8192     512  499634 2548033  3561773  3623372 3597951 1772417 3389267  2500562  4523514  2070262  1684234 3456433  3558822
            8192    1024  447405 1534135  3785443  3296592 3023878 1624435 3453654  1890202  4528283  1868615  1478168 5133064  2346046
            8192    2048  664510 1410741  2863357  2906963 3191265 1859312 3024144  2507496  3322090  2231614  1627050 3925120  4329710
            8192    4096 1118378 1375390   539511  2899848 2938285 1865977 3496175  2096792  1838028  1452793  2808359 3332724  2775915
            8192    8192 1010229 2190917  3645670  2358769 3424738 2306207 3602478  2512998  3439135  2380009  1587582 3407755  3713439
           16384       4  721125 1155516  2922143  2444245 2747152 1778141 2681546  1842107  2242231  1021261  1106205 2814203  3239222
           16384       8  929322 1542046  3714203  3628692 3890631 2086087 1254994  1916497  2977859  1257221  1648787 3334148  3255334
           16384      16  543921 1823290  2160052  3456574 3230846 1658976 3513659  2358025  3243809  2272408  1433902 3270361  3571920
           16384      32  858974 1547394  3432574  3631185 3077891 1438343 3755202  2532708  3568025  2391839  1736883 3732967  3679402
           16384      64  580063 3204929  3365004  3515097 3496319 1780121 3414835  2824381  4807304  2426551  1818417 3266941  6279877
           16384     128  820964 1975673  3776043  3874181 5291891 2832647 4820117  7627187  5959642  3303851  1635640 3791669  4561287
           16384     256  813230 1888841  3388733  4621721 4896361 2863812 3476333  3561737  4406844  1881704  1665369 4406844  4487419
           16384     512  722337 1733903  3169161  3845133 4787877 2597421 3679402  2445027  4133302  2134158  1478702 3599422  3165365
           16384    1024  827468 1566798  3414835  4366799 4310375 2129462 3335442  2609751  4342516  1219862  1220425 3546298  3749874
           16384    2048  981541 1563198  1553164  2810749 4442455 1083513 2871350  2001219  2970265  1686789  1349165 2726118  3378238
           16384    4096  516486 2043652  3088959  3198068 3700802 2468211 3070464  1809797  1133689   642761  1633812 2821366  2692473
           16384    8192  520027 1587905  2919536  2704979 2459290 2323031 3366323  1502826  3133896  1323416  1821888 2748910  2806502
           16384   16384  635210 1881086  3790832  3937445 3979399 1536221 3264303  1560359  2803525  1093653  1394277 2807878  3219494
           32768      64 1052891 1841954  3801402  4434114 4180677 2270824 3775504  8279053  3647355  1598130  1487566 5172554  5617593
           32768     128  740002 1796099   939607  2241493 3562089 2653886 5348275  6880959  5484219  3132739  3160184 5141017  5279249
           32768     256 1252316 1780970  3730414  4409644 4661822 2710089 3573852  3231211  3052109  1885726  1372306 3296941  3974773
           32768     512  831276 1322204  3015678  4795697 4860311 2682373 2988465  3725258  3857306  1612588  3198426 3426481  3807193
           32768    1024  711249 2062941  3416940  3535242 2554446 1498024 3451522  2877169  5275804  2808154  1594774 3234785  3546737
           32768    2048 1111302 1744928  3341996  3406608 3474470 1658972 3270891  3741993  2967879  1275656  1438265 3124975  3048183
           32768    4096  834577 1807674  3907867  3891712 3414055 2112436 3453256  2179294  2856360  1895950  1363403 3026236  3628865
           32768    8192  747516 1672254  3163238  3097438 2331417 2397756 3134740  2251001  3023972  1400825  1598056 2865113  3089292
           32768   16384  692140 1894878  2781218  2668002 3150477 2438252 3021446  1836564  3140542  1450867  1945520 2881935  2975976
           65536      64  713168 1295049  5276594  5899958 4896571 2659401 3439852  3162613  3957252  1638315  1980776 4243986  4488769
           65536     128  963879 1615505  3799185  4154442 3968278 2648358 3603264  3797872  3725147  2253027  2067904 4330708  3631397
           65536     256 1334120 2370540  4236594  3973326 4262478 2252473 4166849  7311009  3929251  1527330  1937154 4149425  4084014
