	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sat Oct  5 11:04:25 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  249985 1562436  3958892 12902017 9318832 3958892 3588436  3363612 10821524  2467108  2006158 3588436 10402178
              64       8  500060 1780008  4897948  9318832 7940539 2662899 3541098  2892445  6421025  2133730  1892980 4564786  6421025
              64      16  415659 1526887  4988978  7100397 6421025 2203800 3022727  2467108  4274062  1421755  2067979 3738358  4988978
              64      32  438759 1599680  4274062  7100397 6271021 2358717 3203069  2467108  3958892  1780008  2379626 3791156  5283570
              64      64  432398 1452528  5389653  6271021 5389653 2067979 3203069  2467108  4274062  2467108  1599680 3541098  6421025
             128       4  350711 1521718  1254941  6727225 5325799 2367096 3759450  2843510  4889281  2035099  1858934 4135958  6406138
             128       8  355589 1997245  5122535  8036304 6727225 2920861 4135958  3560017  8036304  2420455  1997245 4717434  7476717
             128      16  225310 1911894   564055  6406138 6045455 1000121 3277486  2286447  3895854  1802755  2004703 2969325  4934216
             128      32  670413 2511022  5603747  9129573 7476717 3277486 4012317  3560017  5545860  3199360  2336194 4267461  7582312
             128      64  479432  809997  4759253  7582312 6406138 2660335 3982553  2784517  4596273  1663139  2843510 4104338  6045455
             128     128  316028  864797  5603747  6727225 6114306 2727923 4267461  2784517  3982553  2248149  2248149 4135958  6045455
             256       4  401128 1911233  3368013  6719046 5117791 2131261 3810220  2849590  4496299  2034350  1938842 4496299  6249745
             256       8  667000 2187712  5347168  7965107 6936061 3009318 4496299  3770085  5428265  1298662  2247235 5117791  7518900
             256      16  725596 2557711  4572895  7791708 7120034 3197509 4197489  3770085  6107548  2754556  2458168 4907284  7735574
             256      32  699139 2557711  1212164  8024634 7518900  947860 2975955  3879045  7314033  3052087  2842047 4819184  8024634
             256      64  761623 2486631  5242734  8534922 7735574 3465855 4907284  3935921  5841722  3421677  3236056 5455847  7965107
             256     128  826078 1312954  2371308 10651598 9778562 4734192 5455847  5217259  6554972  3197509  3557725 5687020 10651598
             256     256  933846 3236056  9434868  9868433 9868433 3465855 5022044  4496299  5455847  4404088  3511189 4929815  9868433
             512       4  651580 2509312  5278892  8528336 6736026 3220553 4660280  4030519  6086873  2339802  2205248 4973263  8140399
             512       8  960496 2572435  5951911 10235583 8844453 3795443 1992458  3905895  7115451  1940253  2979282 5699180 10044089
             512      16  996139 2922519  4375425  9859630 9145790 3481620 5453155  4973263  8265729  3533174  3279573 5822804 10044089
             512      32 1032540 3081897  5822804 10485468 9814569 4163357 4827914  5384786  7758090  3970896  3086326 3393590 10235583
             512      64 1080328 2039772  6491676 1085653010235583 4701087 3849877  5566231  7871843  2413429  2625909 2187279 10434519
             512     128 1038532 2796910  6319739  222581910044089 4871723 5344582  5453155  8528336  4228947  2152206 4973263  6018636
             512     256  483035 2132967  2277758  4701087 3736016 2196227 4030519  2337255  2071249  2625909  4030519 4871723  3163620
             512     512  642419 2350044  7211022  7115451 7211022 3259661 4610256  2097550  5019764  1117430  1556366 4494470  3604335
            1024       4  418457 1142945  3999762  5065980 4018473 1358390 3112733  2985091  4700088  1928757  1396825 2572135  4674510
            1024       8  433187 1786736  4282950  5175871 4249053 1572783 3941039  2968586  3791442  1434138  1512948 4146499  2827858
            1024      16  669748 1885572  4415030  5720477 5251818 2467229 3390391  3908759  4972145  2328140  1906496 4679604  6776473
            1024      32  747496 2572135  4876180  7319232 7008693 3220084 4972145  4162573  5071963  2358827  1706515 4095102  3591693
            1024      64  831261 2391665  4898425  7208671 7113161 3291652 2950233  2958362  7941793  2746483  2035716 3483896  6364746
            1024     128  728231 2301937  4848656  7208671 7113161 3414650 4589593  4195100  7699755  1656494  2867506 4493556  7160597
            1024     256  790125 2444759  5024495  6776473 6787181 3294177 4550690  3804877  6479979  2751762  2611230 4488860  6918376
            1024     512  759122 2546213  5593820  7113161 6918376 3133170 2085132  3401130  5390231  2958362  3764854 4783849  7113161
            1024    1024  498556 1670020  7208671  4926518 4805258 2039583 4694950  3355952  3863055  3411938  2553783 5042191  7269678
            2048       4  585472 1899669  4528631  6382745 5209791 1968901 3993821  3117032  4762117  1617749  1509175 2660406  5689430
            2048       8  657235 1702391  4633675  7262337 6523312 2701402 4394265  3256469  4347560  1977058  2429413 4221501  6990474
