	Iozone: Performance Test of File I/O
	        Version $Revision: 3.420 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sat Oct  5 17:46:00 2013

	Auto Mode
	Command line used: iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  336889 1255511  3363612  6421025 4274062 1768283 2379626  1734015  4564786  1526887  1363961 2801873  4564786
              64       8  460591 1392258  4018152  5860307 4564786 1722886 2892445  2067979  4564786  1638743  1526887 3057153  4564786
              64      16  365314 1768283  4564786  7100397 6421025 2203800 3022727  2444640  4564786  1947927  2067979 4018152  7293312
              64      32  418250 1780008  4988978  7940539 6271021 2379626 3203069  2467108  4018152  2133730  2133730 3363612  4897948
              64      64  444572 1562436  6421025  7940539 6421025 2467108 3791156  2467108  3541098   258159  1879725 4018152  6421025
             128       4  396271 1561553  3277486  4012317 3560017 1526043 3657016  2905056  4596273  2286447  1319723 4267461  6406138
             128       8  650117 1487977  4267461  6114306 5325799 2211113 3468030  2784517  6114306  1967960  1732927 3895854  5545860
             128      16  546819 1658003  3759450  1939522 4717434 1939522 3657016  2784517  4759253  1243315  2066432 3560017  5325799
             128      32  646983 2211113  4717434  8036304 7917784 1543594 3053774   706589  5545860  2608629  2132084 4267461  6727225
             128      64  640042 1911894  5784891  9795896 8036304 3199360 4135958  3560017  5325799  2211113  3560017 4407601  2558895
             128     128  425141 2511022  7176872  9129573 8036304 3445772 4444086  3277486  4407601  3277486  2784517 4889281  8548124
             256       4  429530 1572543  3935921  5217259 2872459 1884399 3236056  2371308  3879045  1817419  1662639 3285566  3994490
             256       8  562815 1718521  4422226  6107548 4998665 1016025 3326279  2413957  3935921  1718521   985259 3756894  4840911
             256      16  488551 1826695  4422226  6073004 4652146  999940 3557725  2413957  4652146  1868008  2081678 1842366  5687020
             256      32  589706 1802167  3994490  3368013 4734192 2509882 3935921  3052087  4734192  2366082  1369908 2413957  5810112
             256      64  583299 1639786  4496299  6595234 6107548 2754556 4264168  3087188  4840911  1248819  1398455 2747508  6249745
             256     128  555248  469743  5320671  6398720 5938650 2639446 3810220  2911402  4404088  1673001  1683493 3823789  5022044
